crop_name,variety_and_condition,nutrient,soil_level,recommendation_amount,unit
BROCCOLI,,NITROGEN,L,60,kg/ha
BROCCOLI,,NITROGEN,M,50,kg/ha
BROCCOLI,,NITROGEN,H,10,kg/ha
BROCCOLI,,PHOSPHORUS,L,60,kg/ha
BROCCOLI,,PHOSPHORUS,M,35,kg/ha
BROCCOLI,,PHOSPHORUS,H,20,kg/ha
BROCCOLI,,POTASSIUM,L,60,kg/ha
BROCCOLI,,POTASSIUM,M,45,kg/ha
BROCCOLI,,POTASSIUM,H,30,kg/ha
CABBAGE,Local,NITROGEN,L,150,kg/ha
CABBAGE,Local,NITROGEN,M,140,kg/ha
CABBAGE,Local,NITROGEN,H,120,kg/ha
CABBAGE,Local,PHOSPHORUS,L,60,kg/ha
CABBAGE,Local,PHOSPHORUS,M,35,kg/ha
CABBAGE,Local,PHOSPHORUS,H,20,kg/ha
CABBAGE,Local,POTASSIUM,L,75,kg/ha
CABBAGE,Local,POTASSIUM,M,60,kg/ha
CABBAGE,Local,POTASSIUM,H,30,kg/ha
CABBAGE,Chinese,NITROGEN,L,150,kg/ha
CABBAGE,Chinese,NITROGEN,M,140,kg/ha
CABBAGE,Chinese,NITROGEN,H,120,kg/ha
CABBAGE,Chinese,PHOSPHORUS,L,60,kg/ha
CABBAGE,Chinese,PHOSPHORUS,M,35,kg/ha
CABBAGE,Chinese,PHOSPHORUS,H,20,kg/ha
CABBAGE,Chinese,POTASSIUM,L,75,kg/ha
CABBAGE,Chinese,POTASSIUM,M,60,kg/ha
CABBAGE,Chinese,POTASSIUM,H,30,kg/ha
CAULIFLOWER/CABBAGE (HEAD)/LETTUCE (HEAD),,NITROGEN,L,150,kg/ha
CAULIFLOWER/CABBAGE (HEAD)/LETTUCE (HEAD),,NITROGEN,M,140,kg/ha
CAULIFLOWER/CABBAGE (HEAD)/LETTUCE (HEAD),,NITROGEN,H,120,kg/ha
CAULIFLOWER/CABBAGE (HEAD)/LETTUCE (HEAD),,PHOSPHORUS,L,60,kg/ha
CAULIFLOWER/CABBAGE (HEAD)/LETTUCE (HEAD),,PHOSPHORUS,M,35,kg/ha
CAULIFLOWER/CABBAGE (HEAD)/LETTUCE (HEAD),,PHOSPHORUS,H,20,kg/ha
CAULIFLOWER/CABBAGE (HEAD)/LETTUCE (HEAD),,POTASSIUM,L,60,kg/ha
CAULIFLOWER/CABBAGE (HEAD)/LETTUCE (HEAD),,POTASSIUM,M,45,kg/ha
CAULIFLOWER/CABBAGE (HEAD)/LETTUCE (HEAD),,POTASSIUM,H,30,kg/ha
MUSTARD,,NITROGEN,L,150,kg/ha
MUSTARD,,NITROGEN,M,140,kg/ha
MUSTARD,,NITROGEN,H,120,kg/ha
MUSTARD,,PHOSPHORUS,L,60,kg/ha
MUSTARD,,PHOSPHORUS,M,35,kg/ha
MUSTARD,,PHOSPHORUS,H,20,kg/ha
MUSTARD,,POTASSIUM,L,75,kg/ha
MUSTARD,,POTASSIUM,M,60,kg/ha
MUSTARD,,POTASSIUM,H,30,kg/ha
PECHAY,,NITROGEN,L,150,kg/ha
PECHAY,,NITROGEN,M,140,kg/ha
PECHAY,,NITROGEN,H,120,kg/ha
PECHAY,,PHOSPHORUS,L,60,kg/ha
PECHAY,,PHOSPHORUS,M,35,kg/ha
PECHAY,,PHOSPHORUS,H,20,kg/ha
PECHAY,,POTASSIUM,L,75,kg/ha
PECHAY,,POTASSIUM,M,60,kg/ha
PECHAY,,POTASSIUM,H,30,kg/ha
CELERY,,NITROGEN,L,60,kg/ha
CELERY,,NITROGEN,M,50,kg/ha
CELERY,,NITROGEN,H,40,kg/ha
CELERY,,PHOSPHORUS,L,90,kg/ha
CELERY,,PHOSPHORUS,M,50,kg/ha
CELERY,,PHOSPHORUS,H,20,kg/ha
CELERY,,POTASSIUM,L,60,kg/ha
CELERY,,POTASSIUM,M,45,kg/ha
CELERY,,POTASSIUM,H,30,kg/ha
CHILI,Bell Pepper,NITROGEN,L,90,kg/ha
CHILI,Bell Pepper,NITROGEN,M,80,kg/ha
CHILI,Bell Pepper,NITROGEN,H,70,kg/ha
CHILI,Bell Pepper,PHOSPHORUS,L,80,kg/ha
CHILI,Bell Pepper,PHOSPHORUS,M,50,kg/ha
CHILI,Bell Pepper,PHOSPHORUS,H,20,kg/ha
CHILI,Bell Pepper,POTASSIUM,L,150,kg/ha
CHILI,Bell Pepper,POTASSIUM,M,75,kg/ha
CHILI,Bell Pepper,POTASSIUM,H,30,kg/ha
CHILI,Green (sinigang),NITROGEN,L,120,kg/ha
CHILI,Green (sinigang),NITROGEN,M,90,kg/ha
CHILI,Green (sinigang),NITROGEN,H,60,kg/ha
CHILI,Green (sinigang),PHOSPHORUS,L,80,kg/ha
CHILI,Green (sinigang),PHOSPHORUS,M,50,kg/ha
CHILI,Green (sinigang),PHOSPHORUS,H,20,kg/ha
CHILI,Green (sinigang),POTASSIUM,L,150,kg/ha
CHILI,Green (sinigang),POTASSIUM,M,120,kg/ha
CHILI,Green (sinigang),POTASSIUM,H,60,kg/ha
CHILI,Pepper,NITROGEN,L,90,kg/ha
CHILI,Pepper,NITROGEN,M,60,kg/ha
CHILI,Pepper,NITROGEN,H,30,kg/ha
CHILI,Pepper,PHOSPHORUS,L,80,kg/ha
CHILI,Pepper,PHOSPHORUS,M,50,kg/ha
CHILI,Pepper,PHOSPHORUS,H,20,kg/ha
CHILI,Pepper,POTASSIUM,L,150,kg/ha
CHILI,Pepper,POTASSIUM,M,120,kg/ha
CHILI,Pepper,POTASSIUM,H,60,kg/ha
CHILI,Black Pepper,NITROGEN,L,0.04,kg/ha
CHILI,Black Pepper,NITROGEN,M,0.02,kg/ha
CHILI,Black Pepper,NITROGEN,H,0.01,kg/ha
CHILI,Black Pepper,PHOSPHORUS,L,0.04,kg/ha
CHILI,Black Pepper,PHOSPHORUS,M,0.03,kg/ha
CHILI,Black Pepper,PHOSPHORUS,H,0.01,kg/ha
CHILI,Black Pepper,POTASSIUM,L,0.03,kg/ha
CHILI,Black Pepper,POTASSIUM,M,0.02,kg/ha
CHILI,Black Pepper,POTASSIUM,H,0.01,kg/ha
EGGPLANT,,NITROGEN,L,90,kg/ha
EGGPLANT,,NITROGEN,M,80,kg/ha
EGGPLANT,,NITROGEN,H,70,kg/ha
EGGPLANT,,PHOSPHORUS,L,80,kg/ha
EGGPLANT,,PHOSPHORUS,M,50,kg/ha
EGGPLANT,,PHOSPHORUS,H,20,kg/ha
EGGPLANT,,POTASSIUM,L,90,kg/ha
EGGPLANT,,POTASSIUM,M,60,kg/ha
EGGPLANT,,POTASSIUM,H,30,kg/ha
OKRA,Local,NITROGEN,L,90,kg/ha
OKRA,Local,NITROGEN,M,80,kg/ha
OKRA,Local,NITROGEN,H,80,kg/ha
OKRA,Local,PHOSPHORUS,L,80,kg/ha
OKRA,Local,PHOSPHORUS,M,50,kg/ha
OKRA,Local,PHOSPHORUS,H,20,kg/ha
OKRA,Local,POTASSIUM,L,90,kg/ha
OKRA,Local,POTASSIUM,M,60,kg/ha
OKRA,Local,POTASSIUM,H,30,kg/ha
OKRA,Hybrid,NITROGEN,L,120,kg/ha
OKRA,Hybrid,NITROGEN,M,100,kg/ha
OKRA,Hybrid,NITROGEN,H,70,kg/ha
OKRA,Hybrid,PHOSPHORUS,L,80,kg/ha
OKRA,Hybrid,PHOSPHORUS,M,50,kg/ha
OKRA,Hybrid,PHOSPHORUS,H,20,kg/ha
OKRA,Hybrid,POTASSIUM,L,90,kg/ha
OKRA,Hybrid,POTASSIUM,M,60,kg/ha
OKRA,Hybrid,POTASSIUM,H,30,kg/ha
TOMATO,,NITROGEN,L,90,kg/ha
TOMATO,,NITROGEN,M,80,kg/ha
TOMATO,,NITROGEN,H,70,kg/ha
TOMATO,,PHOSPHORUS,L,120,kg/ha
TOMATO,,PHOSPHORUS,M,75,kg/ha
TOMATO,,PHOSPHORUS,H,30,kg/ha
TOMATO,,POTASSIUM,L,90,kg/ha
TOMATO,,POTASSIUM,M,60,kg/ha
TOMATO,,POTASSIUM,H,30,kg/ha
SQUASH,,NITROGEN,L,90,kg/ha
SQUASH,,NITROGEN,M,50,kg/ha
SQUASH,,NITROGEN,H,40,kg/ha
SQUASH,,PHOSPHORUS,L,80,kg/ha
SQUASH,,PHOSPHORUS,M,50,kg/ha
SQUASH,,PHOSPHORUS,H,30,kg/ha
SQUASH,,POTASSIUM,L,60,kg/ha
SQUASH,,POTASSIUM,M,45,kg/ha
SQUASH,,POTASSIUM,H,30,kg/ha
BASIL,,NITROGEN,L,0.001,kg/ha
BASIL,,NITROGEN,M,0.001,kg/ha
BASIL,,NITROGEN,H,0.001,kg/ha
BASIL,,PHOSPHORUS,L,0.001,kg/ha
BASIL,,PHOSPHORUS,M,0.001,kg/ha
BASIL,,PHOSPHORUS,H,0.001,kg/ha
BASIL,,POTASSIUM,L,0.001,kg/ha
BASIL,,POTASSIUM,M,0.001,kg/ha
BASIL,,POTASSIUM,H,0.001,kg/ha
MINT HERB,,NITROGEN,L,80,kg/ha
MINT HERB,,NITROGEN,M,40,kg/ha
MINT HERB,,NITROGEN,H,20,kg/ha
MINT HERB,,PHOSPHORUS,L,80,kg/ha
MINT HERB,,PHOSPHORUS,M,80,kg/ha
MINT HERB,,PHOSPHORUS,H,40,kg/ha
MINT HERB,,POTASSIUM,L,20,kg/ha
MINT HERB,,POTASSIUM,M,10,kg/ha
MINT HERB,,POTASSIUM,H,7,kg/ha
RICE,Hybrid (Light Soils - Wet Season),NITROGEN,L,120,kg/ha
RICE,Hybrid (Light Soils - Wet Season),NITROGEN,M,90,kg/ha
RICE,Hybrid (Light Soils - Wet Season),NITROGEN,H,60,kg/ha
RICE,Hybrid (Light Soils - Wet Season),PHOSPHORUS,L,70,kg/ha
RICE,Hybrid (Light Soils - Wet Season),PHOSPHORUS,M,50,kg/ha
RICE,Hybrid (Light Soils - Wet Season),PHOSPHORUS,H,30,kg/ha
RICE,Hybrid (Light Soils - Wet Season),POTASSIUM,L,70,kg/ha
RICE,Hybrid (Light Soils - Wet Season),POTASSIUM,M,50,kg/ha
RICE,Hybrid (Light Soils - Wet Season),POTASSIUM,H,30,kg/ha
RICE,Hybrid (Light Soils - Dry Season),NITROGEN,L,140,kg/ha
RICE,Hybrid (Light Soils - Dry Season),NITROGEN,M,110,kg/ha
RICE,Hybrid (Light Soils - Dry Season),NITROGEN,H,80,kg/ha
RICE,Hybrid (Light Soils - Dry Season),PHOSPHORUS,L,70,kg/ha
RICE,Hybrid (Light Soils - Dry Season),PHOSPHORUS,M,50,kg/ha
RICE,Hybrid (Light Soils - Dry Season),PHOSPHORUS,H,30,kg/ha
RICE,Hybrid (Light Soils - Dry Season),POTASSIUM,L,50,kg/ha
RICE,Hybrid (Light Soils - Dry Season),POTASSIUM,M,70,kg/ha
RICE,Hybrid (Light Soils - Dry Season),POTASSIUM,H,30,kg/ha
RICE,Upland (Light Soils),NITROGEN,L,45,kg/ha
RICE,Upland (Light Soils),NITROGEN,M,40,kg/ha
RICE,Upland (Light Soils),NITROGEN,H,30,kg/ha
RICE,Upland (Light Soils),PHOSPHORUS,L,60,kg/ha
RICE,Upland (Light Soils),PHOSPHORUS,M,40,kg/ha
RICE,Upland (Light Soils),PHOSPHORUS,H,30,kg/ha
RICE,Upland (Light Soils),POTASSIUM,L,45,kg/ha
RICE,Upland (Light Soils),POTASSIUM,M,60,kg/ha
RICE,Upland (Light Soils),POTASSIUM,H,50,kg/ha
RICE,Inbred (Light Soils - Wet Season),NITROGEN,L,100,kg/ha
RICE,Inbred (Light Soils - Wet Season),NITROGEN,M,70,kg/ha
RICE,Inbred (Light Soils - Wet Season),NITROGEN,H,40,kg/ha
RICE,Inbred (Light Soils - Wet Season),PHOSPHORUS,L,60,kg/ha
RICE,Inbred (Light Soils - Wet Season),PHOSPHORUS,M,40,kg/ha
RICE,Inbred (Light Soils - Wet Season),PHOSPHORUS,H,20,kg/ha
RICE,Inbred (Light Soils - Wet Season),POTASSIUM,L,60,kg/ha
RICE,Inbred (Light Soils - Wet Season),POTASSIUM,M,40,kg/ha
RICE,Inbred (Light Soils - Wet Season),POTASSIUM,H,20,kg/ha
RICE,Inbred (Light Soils - Dry Season),NITROGEN,L,120,kg/ha
RICE,Inbred (Light Soils - Dry Season),NITROGEN,M,90,kg/ha
RICE,Inbred (Light Soils - Dry Season),NITROGEN,H,60,kg/ha
RICE,Inbred (Light Soils - Dry Season),PHOSPHORUS,L,60,kg/ha
RICE,Inbred (Light Soils - Dry Season),PHOSPHORUS,M,40,kg/ha
RICE,Inbred (Light Soils - Dry Season),PHOSPHORUS,H,20,kg/ha
RICE,Inbred (Light Soils - Dry Season),POTASSIUM,L,60,kg/ha
RICE,Inbred (Light Soils - Dry Season),POTASSIUM,M,40,kg/ha
RICE,Inbred (Light Soils - Dry Season),POTASSIUM,H,20,kg/ha
RICE,Inbred (Med-Heavy Soils - Wet Season),NITROGEN,L,90,kg/ha
RICE,Inbred (Med-Heavy Soils - Wet Season),NITROGEN,M,60,kg/ha
RICE,Inbred (Med-Heavy Soils - Wet Season),NITROGEN,H,30,kg/ha
RICE,Inbred (Med-Heavy Soils - Wet Season),PHOSPHORUS,M,40,kg/ha
RICE,Inbred (Med-Heavy Soils - Wet Season),PHOSPHORUS,H,20,kg/ha
RICE,Inbred (Med-Heavy Soils - Wet Season),POTASSIUM,L,50,kg/ha
RICE,Inbred (Med-Heavy Soils - Wet Season),POTASSIUM,M,40,kg/ha
RICE,Inbred (Med-Heavy Soils - Wet Season),POTASSIUM,H,20,kg/ha
RICE,Inbred (Med-Heavy Soils - Dry Season),NITROGEN,L,100,kg/ha
RICE,Inbred (Med-Heavy Soils - Dry Season),NITROGEN,M,70,kg/ha
RICE,Inbred (Med-Heavy Soils - Dry Season),NITROGEN,H,40,kg/ha
RICE,Inbred (Med-Heavy Soils - Dry Season),PHOSPHORUS,L,60,kg/ha
RICE,Inbred (Med-Heavy Soils - Dry Season),PHOSPHORUS,M,40,kg/ha
RICE,Inbred (Med-Heavy Soils - Dry Season),PHOSPHORUS,H,20,kg/ha
RICE,Inbred (Med-Heavy Soils - Dry Season),POTASSIUM,L,60,kg/ha
RICE,Inbred (Med-Heavy Soils - Dry Season),POTASSIUM,M,40,kg/ha
RICE,Inbred (Med-Heavy Soils - Dry Season),POTASSIUM,H,20,kg/ha
CORN,Hybrid (Yellow),NITROGEN,L,135,kg/ha
CORN,Hybrid (Yellow),NITROGEN,M,90,kg/ha
CORN,Hybrid (Yellow),NITROGEN,H,60,kg/ha
CORN,Hybrid (Yellow),PHOSPHORUS,L,90,kg/ha
CORN,Hybrid (Yellow),PHOSPHORUS,M,40,kg/ha
CORN,Hybrid (Yellow),PHOSPHORUS,H,20,kg/ha
CORN,Hybrid (Yellow),POTASSIUM,L,90,kg/ha
CORN,Hybrid (Yellow),POTASSIUM,M,45,kg/ha
CORN,Hybrid (Yellow),POTASSIUM,H,30,kg/ha
CORN,Hybrid (White),NITROGEN,L,135,kg/ha
CORN,Hybrid (White),NITROGEN,M,90,kg/ha
CORN,Hybrid (White),NITROGEN,H,60,kg/ha
CORN,Hybrid (White),PHOSPHORUS,L,60,kg/ha
CORN,Hybrid (White),PHOSPHORUS,H,20,kg/ha
CORN,Hybrid (White),POTASSIUM,L,60,kg/ha
CORN,Hybrid (White),POTASSIUM,M,45,kg/ha
CORN,Hybrid (White),POTASSIUM,H,30,kg/ha
CORN,OPV (White),NITROGEN,L,90,kg/ha
CORN,OPV (White),NITROGEN,M,50,kg/ha
CORN,OPV (White),PHOSPHORUS,L,60,kg/ha
CORN,OPV (White),PHOSPHORUS,H,20,kg/ha
CORN,OPV (White),POTASSIUM,L,60,kg/ha
CORN,OPV (White),POTASSIUM,M,45,kg/ha
CORN,OPV (White),POTASSIUM,H,30,kg/ha
APPLE,New,NITROGEN,L,0.1,kg/tree
APPLE,New,NITROGEN,M,0.01,kg/tree
APPLE,New,NITROGEN,H,0.01,kg/tree
APPLE,New,PHOSPHORUS,L,0.01,kg/tree
APPLE,New,PHOSPHORUS,M,0.01,kg/tree
APPLE,New,PHOSPHORUS,H,0.01,kg/tree
APPLE,New,POTASSIUM,L,0.015,kg/tree
APPLE,New,POTASSIUM,M,0.015,kg/tree
APPLE,New,POTASSIUM,H,0.015,kg/tree
APPLE,1-3 years,NITROGEN,L,0.1,kg/tree
APPLE,1-3 years,NITROGEN,M,0.05,kg/tree
APPLE,1-3 years,NITROGEN,H,0.03,kg/tree
APPLE,1-3 years,PHOSPHORUS,L,0.1,kg/tree
APPLE,1-3 years,PHOSPHORUS,M,0.04,kg/tree
APPLE,1-3 years,PHOSPHORUS,H,0.01,kg/tree
APPLE,1-3 years,POTASSIUM,L,0.3,kg/tree
APPLE,1-3 years,POTASSIUM,M,0.15,kg/tree
APPLE,1-3 years,POTASSIUM,H,0.05,kg/tree
APPLE,4-6 years,NITROGEN,L,0.2,kg/tree
APPLE,4-6 years,NITROGEN,M,0.1,kg/tree
